system   I             system.c:245  al_install_system                [   0.00044] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50931] removed dtor for object 04A0D320
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50935] removed dtor for object 04A15CB8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50939] removed dtor for object 04A4F230
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50943] removed dtor for object 04A4F398
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50946] removed dtor for object 04A4F0C8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50950] removed dtor for object 04A4EF60
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50953] removed dtor for object 04A4F500
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50957] removed dtor for object 04A4F668
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50960] removed dtor for object 04A4F7D0
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50963] removed dtor for object 04A4F938
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50967] removed dtor for object 04A4FAA0
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50970] removed dtor for object 04A4FC08
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.52485] removed dtor for object 0048FA58
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [   3.52491] destroying display 004B88D8 (current 00000000)
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [   3.52664] converting display bitmap 048CFE60 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [   3.52699] added dtor for object 04A4EF60, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   3.52703] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   3.52706] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.52882] removed dtor for object 04A4EF60
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [   3.52908] waiting for display 004B88D8's thread to end
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [   3.54089] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.54151] removed dtor for object 04A5E0A8
dtor     D               dtor.c:114  _al_run_destructors              [   3.54156] calling dtor for object 048CFE60, func 0FB521E9
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.54182] removed dtor for object 048CFE60
